710, The Secret Life of Walter Mitty
711, Tropic Thunder
712, Jaws 2
713, Octopussy
714, Ponyo
715, Heat
716, Mr. Popper's Penguins
717, 12 Years a Slave
718, The Horse Whisperer
719, Walk the Line
720, The Final Destination
721, I Now Pronounce You Chuck & Larry
722, Atlantis: The Lost Empire
723, The Waterboy
724, Hugo
725, The Spy Who Loved Me
726, The Birdcage
727, Watchmen
728, Snow White and the Seven Dwarfs
729, Wind River
730, Inside Man
731, Jupiter Ascending
732, Hop
733, Bad Moms
734, 102 Dalmatians
735, The Grudge
736, The BFG
737, Aliens
738, Paul Blart: Mall Cop
739, Mirror Mirror
740, Storks
741, Cape Fear
742, The Haunted Mansion
743, While You Were Sleeping
744, The Bridges of Madison County
745, Grease
746, Poseidon
747, Scooby-Doo 2: Monsters Unleashed
748, Hot Shots!
749, Road to Perdition
750, Kill Bill: Vol. 1
751, Sweet Home Alabama
752, Déjà Vu
753, The Impossible
754, Dangerous Minds
755, The Dictator
756, The League of Extraordinary Gentlemen
757, Allegiant
758, Moulin Rouge!
759, Daredevil
760, City Slickers
761, Scary Movie 4
762, Dante's Peak
763, Eagle Eye
764, Patriot Games
765, Brokeback Mountain
766, Flubber
767, Baywatch
768, Double Jeopardy
769, War Horse
770, Paranormal Activity 2
771, Hero
772, How to Lose a Guy in 10 Days
773, He's Just Not That Into You
774, The Descendants
775, The A-Team
776, Tootsie
777, In the Line of Fire
778, Analyze This
779, Dr. Dolittle 2
780, The Italian Job
781, The Bucket List
782, Hacksaw Ridge
783, Sleeping with the Enemy
784, Cowboys & Aliens
785, The Grand Budapest Hotel
786, Percy Jackson: Sea of Monsters
787, Identity Thief
788, Big Momma's House
789, In Time
790, Amélie
791, Anchorman 2: The Legend Continues
792, Creed
793, Elf
794, The Girl on the Train
795, Scream
796, Cold Mountain
797, Evan Almighty
798, Operation Mekong
799, Black Hawk Down
800, The Santa Clause 2
801, Scream 2
802, Along Came Polly
803, Couples Retreat
804, Antz
805, No Country for Old Men
806, John Wick: Chapter 2
807, Cocktail
808, Mr. Deeds
809, AVP: Alien vs. Predator
810, Contact
811, Blood Diamond
812, Cloverfield
813, The Other Guys
814, The Specialist
815, Starsky & Hutch
816, Shall We Dance?
817, What Happens in Vegas
818, Stuart Little 2
819, Zookeeper
820, Dumb and Dumber To
821, Ghost in the Shell
822, Meet the Robinsons
823, The Emperor's New Groove
824, Twelve Monkeys
825, Seven Pounds
826, Fantastic Four
827, Unstoppable
828, DodgeBall: A True Underdog Story
829, Alexander
830, Magic Mike
831, Sleepers
832, Bridge of Spies
833, The Princess Diaries
834, The Scorpion King
835, The Muppets
836, The Huntsman: Winter's War
837, Speed 2: Cruise Control
838, Daddy Day Care
839, Six Days Seven Nights
840, Saw III
841, Miami Vice
842, Four Christmases
843, Burn After Reading
844, The Incredible Hulk
845, Up in the Air
846, Pokémon: The First Movie: Mewtwo Strikes Back
847, Unbroken
848, The Happening
849, Talladega Nights: The Ballad of Ricky Bobby
850, The Island
851, World Trade Center
852, The Interpreter
853, The Spiderwick Chronicles
854, The Magnificent Seven
855, Memoirs of a Geisha
856, Jack Reacher: Never Go Back
857, Eyes Wide Shut
858, Alien: Resurrection
859, Limitless
860, Scream 3
861, Live and Let Die
862, Flight
863, Payback
864, The Ring Two
865, Olympus Has Fallen
866, Born on the Fourth of July
867, Love's Deadly Triangle: The Texas Cadet Murder
868, A Star Is Born
869, Legends of the Fall
870, Into the Storm
871, Johnny English
872, Hellboy II: The Golden Army
873, 27 Dresses
874, Underworld: Awakening
875, Johnny English Reborn
876, Never Say Never Again
877, Alien³
878, The Sting
879, Princess Mononoke
880, The Jackal
881, Step Up 3D
882, Daylight
883, Unforgiven
884, Demolition Man
885, Sin City
886, The Heat
887, The Fast and the Furious: Tokyo Drift
888, Goosebumps
889, Days of Thunder
890, Final Destination 5
891, Crimson Tide
892, The Book of Eli
893, Don't Breathe
894, This Means War
895, Ip Man 3
896, P.S. I Love You
897, Mystic River
898, Under Siege
899, Lara Croft Tomb Raider: The Cradle of Life
900, Licence to Kill
901, The Hateful Eight
902, Rocky Balboa
903, Hannah Montana: The Movie
904, What Lies Beneath
905, Knowing
906, The Accountant
907, Blade II
908, The Monuments Men
909, Dreamgirls
910, Maid in Manhattan
911, Cool Runnings
912, Monster-in-Law
913, The Phantom of the Opera
914, The Town
915, Ride Along
916, Focus
917, Free Willy
918, Another 48 Hrs.
919, Gremlins
920, The Devil's Advocate
921, Tower Heist
922, Saw II
923, Chocolat
924, A View to a Kill
925, Backdraft
926, A Time to Kill
927, Date Night
928, Kill Bill: Vol. 2
929, Phenomenon
930, Congo
931, Sweeney Todd: The Demon Barber of Fleet Street
932, Bad Grandpa
933, Big
934, The Bone Collector
935, Planes: Fire & Rescue
936, Vantage Point
937, Midnight in Paris
938, 47 Ronin
939, Step Up 2: The Streets
940, Gods of Egypt
941, Friends with Benefits
942, Happy Feet Two
943, Broken Arrow
944, The Taking of Pelham 1 2 3
945, Star Trek: First Contact
946, Monkey King: Hero Is Back
947, The General's Daughter
948, Jack and Jill
949, Recep İvedik 4
950, Lone Survivor
951, Beverly Hills Chihuahua
952, Me, Myself & Irene
953, Ghost Rider: Spirit of Vengeance
954, Surf's Up
955, Death Becomes Her
956, Lights Out
957, Resident Evil: Extinction
958, Seabiscuit
959, Spy Kids
960, The Game Plan
961, The Mexican
962, No Strings Attached
963, Source Code
964, Romeo + Juliet
965, Beethoven
966, Swordfish
967, The Last Witch Hunter
968, Ben-Hur
969, Mama
970, The Color Purple
971, Police Academy
972, King Arthur: Legend of the Sword
973, Music and Lyrics
974, Driving Miss Daisy
975, Lilo & Stitch
976, The Secret World of Arrietty
977, Chronicle
978, I Am Number Four
979, The Exorcism of Emily Rose
980, The Beach
981, Charlotte's Web
982, Pete's Dragon
983, Spy Game
984, Meet Joe Black
985, Crazy, Stupid, Love.
986, Paranormal Activity 4
987, The Legend of Zorro
988, Power Rangers
